Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population density (people per sq. km of land area),EN.POP.DNST,Guatemala,GTM,84.4542273236282,108.153798058977,135.512458006719,137.942721164614,140.388027248973,142.836095558044,145.27266703994,147.701474430758,150.125214632325,152.547125793206,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Guinea,GIN,25.8517133322481,33.5370747191926,42.4079073742471,43.3502726680775,44.3301725541266,45.3808277714472,46.5248575614521,47.7716140322318,49.1109352108091,50.5222122741332,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Guinea-Bissau,GNB,34.6821123755334,42.7205192034139,55.5828236130868,57.07606685633,58.6151137980085,60.1863086770982,61.7781650071124,63.3868065433855,65.0123044096728,66.6539473684211,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Guyana,GUY,3.77601727203454,3.79331978663957,3.82030988061976,3.83743459486919,3.85717551435103,3.87797815595631,3.89856235712471,3.91854711709423,3.93813055626111,3.95734823469647,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Haiti,HTI,255.367089985486,307.104716981132,366.484760522496,371.949564586357,377.382910014514,382.765166908563,388.082075471698,393.322568940493,398.489332365747,403.59854862119,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Honduras,HND,44.2872732147645,58.7586826347305,75.7947180266333,77.2248726427742,78.6354544642059,80.0392260255608,81.4453123603539,82.8563321118956,84.2703816248101,85.6870319063366,..,..
Population density (people per sq. km of land area),EN.POP.DNST,"Hong Kong SAR, China",HKG,5762.12121212121,6347.61904761905,6734.85714285714,6809.61904761905,6837.04761904762,6885.2380952381,6944.09523809524,6987.2380952381,7039.71428571429,7096.19047619048,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Hungary,HUN,115.433270279292,113.936297701406,110.148315475533,109.580934496852,109.27959792334,108.985618027173,108.726698332045,108.406307301447,108.118480061858,107.981486799956,..,..
Population density (people per sq. km of land area),EN.POP.DNST,Iceland,ISL,2.54190523690773,2.80503740648379,3.18218453865337,3.19916209476309,3.22956608478803,3.2656957605985,3.29990024937656,3.34602493765586,3.42543640897756,3.51841396508728,..,..
Population density (people per sq. km of land area),EN.POP.DNST,India,IND,293.717454316744,355.367651915956,420.520965360438,425.732223638583,430.798613273958,435.762323968532,440.655458615157,445.484341397623,450.243285831043,454.938072575247,..,..
